"filename", "language", "Markdown", "Dart", "JSON with Comments", "C++", "JSON", "HTML", "XML", "PowerShell", "YAML", "Swift", "Groovy", "Properties", "TypeScript", "JavaScript", "comment", "blank", "total"
"e:\Projects\icarus\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"e:\Projects\icarus\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"e:\Projects\icarus\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"e:\Projects\icarus\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Projects\icarus\lib\collab\collab_models.dart", "Dart", 0, 331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 369
"e:\Projects\icarus\lib\collab\convex_payload.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"e:\Projects\icarus\lib\collab\convex_strategy_repository.dart", "Dart", 0, 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 253
"e:\Projects\icarus\lib\const\abilities.dart", "Dart", 0, 371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 43, 417
"e:\Projects\icarus\lib\const\agents.dart", "Dart", 0, 787, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 103, 917
"e:\Projects\icarus\lib\const\app_navigator.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
"e:\Projects\icarus\lib\const\bounding_box.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35
"e:\Projects\icarus\lib\const\bounding_box.g.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
"e:\Projects\icarus\lib\const\color_option.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"e:\Projects\icarus\lib\const\coordinate_system.dart", "Dart", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22, 106
"e:\Projects\icarus\lib\const\custom_icons.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"e:\Projects\icarus\lib\const\default_placement.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"e:\Projects\icarus\lib\const\drawing_element.dart", "Dart", 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47, 288
"e:\Projects\icarus\lib\const\drawing_element.g.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 50
"e:\Projects\icarus\lib\const\hive_boxes.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"e:\Projects\icarus\lib\const\image_scale_policy.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Projects\icarus\lib\const\json_converters.dart", "Dart", 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24, 157
"e:\Projects\icarus\lib\const\line_provider.dart", "Dart", 0, 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 54, 347
"e:\Projects\icarus\lib\const\line_provider.g.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 40
"e:\Projects\icarus\lib\const\maps.dart", "Dart", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 65
"e:\Projects\icarus\lib\const\placed_classes.dart", "Dart", 0, 566, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 119, 704
"e:\Projects\icarus\lib\const\placed_classes.g.dart", "Dart", 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18, 193
"e:\Projects\icarus\lib\const\routes.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\Projects\icarus\lib\const\second_instance_args.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 13
"e:\Projects\icarus\lib\const\settings.dart", "Dart", 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 19, 195
"e:\Projects\icarus\lib\const\shortcut_info.dart", "Dart", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19, 110
"e:\Projects\icarus\lib\const\transition_data.dart", "Dart", 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25, 169
